Feature,Mean |SHAP|
child_height,5.939230774530227
child_age_years,0.5992435297437542
birth_weight,0.488687443531013
birth_order,0.3066629427684328
mother_education,0.25277697460939014
mother_weight,0.24869056070547593
mother_height,0.24713410356494156
maternal_bmi,0.12137128748906997
birth_location_facility,0.09116152463593684
anc_visits_total,0.04872354724523203
mother_age,0.047064080888993665
child_gender,0.0263566353260146
mother_weight_cat,0.023344423677897037
pregnancy_sickness,0.02067272907995346
maternal_hemoglobin,0.01831895603635841
anc_cat,0.013793113008047584
iron_pills,0.01272591494131559
edu_iron_interaction,0.008820942184688558
age_anc_interaction,0.005101697245316504
mother_age_cat,0.003538593632008797
